title,num_bed,num_bath,area,amenities,location,building_type,purpose,price_in_BDT,details,listing_url
SEARCHING FOR AN AFFORDABLE FURNISHED APARTMENT TO CALL YOUR OWN? @ Baridhara Diplomatic Zone, 3 bd, 3 ba, 2500 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties/searching-for-an-affordable-furnished-apartment-to-call-your-own-at-baridhara-diplomatic-zone/400
A 2800 SQFT APARTMENT @BARIDHARA DIPLOMATIC ZONE IS UP FOR RENT NOW, 3 bd, 3 ba, 2800 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 260000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  20000,,Advance Deposit:  520000,",http://www.rentalhomebd.com/properties/a-2800-sqft-apartment-at-baridhara-diplomatic-zone-is-up-for-rent-now/398
Looking for an OFFICE SPACE @Baridhara Diplomatic Zone?, 0 bd, 7 ba, 4200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Office space,Rent, 300000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  5,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Nagotiable:  Yes,,Service Charge:  20000,,Advance Deposit:  600000,",http://www.rentalhomebd.com/properties/looking-for-an-office-space-at-baridhara-diplomatic-zone/399
2150 SQFT unfurnished apartment is up for rent @ Baridhara Diplomatic Zone, 3 bd, 3 ba, 2150 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 135000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  10000,,Advance Deposit:  270000,",http://www.rentalhomebd.com/properties/2150-sqft-unfurnished-apartment-is-up-for-rent-at-baridhara-diplomatic-zone/401
A 6000 SQFT DUPLEX HOME @ BARIDHARA DIPLOMATIC ZONE, 5 bd, 5 ba, 6000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Duplex Home,Rent, 860000/mo,"Property Condition:  New,,Available For:  Family,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  1720000,",http://www.rentalhomebd.com/properties/a-6000-sqft-duplex-home-at-baridhara-diplomatic-zone/402
SEARCHING FOR A FURNISHED APARTMENT @Baridhara Diplomatic Zone?, 4 bd, 4 ba, 3000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  5000,,Advance Deposit:  360000,",http://www.rentalhomebd.com/properties/searching-for-a-furnished-apartment-at-baridhara-diplomatic-zone/403
An unfurnished 4200 SQFT apartment @ Baridhara Diplomatic Zone, 5 bd, 6 ba, 4200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 280000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  560000,",http://www.rentalhomebd.com/properties/an-unfurnished-4200-sqft-apartment-at-baridhara-diplomatic-zone/404
5059 sqft Unfurnished Office Spaces for Rent @ Banani, 0 bd, 3 ba, 5059 sqft,"Intercom,Electricity,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 1011800/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  11,,Furnished Status:  Unfurnished,,Service Charge:  75885,,Advance Deposit:  2023600,",http://www.rentalhomebd.com/properties/5059-sqft-unfurnished-office-spaces-for-rent-at-banani/373
3100 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 3100 sqft,"Intercom,Electricity,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 502200/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Service Charge:  37200,,Advance Deposit:  1004400,",http://www.rentalhomebd.com/properties/3100-sqft-unfurnished-office-space-for-rent-at-banani/374
4500 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 4500 sqft,"Intercom,Electricity,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 594000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Furnished Status:  Unfurnished,,Service Charge:  54000,,Advance Deposit:  1188000,",http://www.rentalhomebd.com/properties/4500-sqft-unfurnished-office-space-for-rent-at-banani/375
2000 SQFT Unfurnished Apartment @ Baridhara Diplomatic Zone, 3 bd, 4 ba, 2000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-apartment-at-baridhara-diplomatic-zone/377
1740 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba, 1740 sqft,"Intercom,Electricity,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 194880/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  7,,Furnished Status:  Unfurnished,,Service Charge:  20880,,Advance Deposit:  389760,",http://www.rentalhomebd.com/properties/1740-sqft-unfurnished-office-space-for-rent-at-banani/376
A perfect 4382 SQFT family apartment up for rent @ Baridhara Diplomatic Zone, 4 bd, 4 ba, 4382 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 300000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  21000,,Advance Deposit:  600000,",http://www.rentalhomebd.com/properties/a-perfect-4382-sqft-family-apartment-up-for-rent-at-baridhara-diplomatic-zone/378
2291 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 2291 sqft,"Intercom,Electricity,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 600242/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Furnished Status:  Unfurnished,,Service Charge:  27492,,Advance Deposit:  1200484,",http://www.rentalhomebd.com/properties/2291-sqft-unfurnished-office-space-for-rent-at-banani/379
2200 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba, 2200 sqft,"Intercom,Electricity,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 253000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Furnished Status:  Unfurnished,,Service Charge:  33000,,Advance Deposit:  506000,",http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-office-space-for-rent-at-banani/380
2000 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 2000 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 145000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  12000,,Advance Deposit:  290000,",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-office-space-for-rent-at-banani/381
2200 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 2200 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 145000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  12000,,Advance Deposit:  290000,",http://www.rentalhomebd.com/properties/2200-sqft-unfurnished-office-space-for-rent-at-banani/382
3400 SQFT UNFURNISHED APARTMENT @ BARIDHHARA DIPLOMATIC ZONE, 3 bd, 3 ba, 3400 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 190000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  380000,",http://www.rentalhomebd.com/properties/3400-sqft-unfurnished-apartment-at-baridhhara-diplomatic-zone/383
A CLASSY SEMI-FURNISHED APARTMENT @Baridhara Diplomatic Zone, 3 bd, 3 ba, 2200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 180000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  4,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  360000,",http://www.rentalhomebd.com/properties/a-classy-semi-furnished-apartment-at-baridhara-diplomatic-zone/384
An amazing 2200 SQFT furnished apartment @ Baridhara Diplomatic Zone, 1 bd, 2 ba, 2200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 175000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  13,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  350000,",http://www.rentalhomebd.com/properties/an-amazing-2200-sqft-furnished-apartment-at-baridhara-diplomatic-zone/385
Have you been looking for a perfect furnished home @ Baridhara Diplomatic Zone?, 3 bd, 4 ba, 2250 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 150000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Floor Type:  Mosaic,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties/have-you-been-looking-for-a-perfect-furnished-home-at-baridhara-diplomatic-zone/387
1450 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 1450 sqft,"Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 110000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  1,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  8500,,Advance Deposit:  220000,",http://www.rentalhomebd.com/properties/1450-sqft-unfurnished-office-space-for-rent-at-banani/388
Searching for a DUPLEX HOME @ Baridhara Diplomatic Zone?, 0 bd, 0 ba, 4200 sqft,"Intercom,Electricity,Internet,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Duplex Home,Rent, 310000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  12,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  620000,",http://www.rentalhomebd.com/properties/searching-for-a-duplex-home-at-baridhara-diplomatic-zone/386
5675 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 5675 sqft,"Intercom,Electricity,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 1135000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  19,,Furnished Status:  Unfurnished,,Service Charge:  113500,,Advance Deposit:  2270000,",http://www.rentalhomebd.com/properties/5675-sqft-unfurnished-office-space-for-rent-at-banani/371
2750 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba, 2750 sqft,"Intercom,Electricity,Hot Water,Emergency Exit,Elevator,Security Guard,CCTV,WASA,Guard's Room,Visitor's Car Parking","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 550000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  20,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  55000,,Advance Deposit:  1100000,",http://www.rentalhomebd.com/properties/2750-sqft-unfurnished-office-space-for-rent-at-banani/372
AN AMAZINGLY DECORED FURNISHED APARTMENT @ Baridhara Diplomatic Zone, 3 bd, 3 ba, 2150 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties/an-amazingly-decored-furnished-apartment-at-baridhara-diplomatic-zone/357
Perfectly Furnished Apartment Up For Rent @ Baridhara Diplomatic Zone, 4 bd, 4 ba, 2500 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 200000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  1,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  400000,",http://www.rentalhomebd.com/properties/perfectly-furnished-apartment-up-for-rent-at-baridhara-diplomatic-zone/358
LOOKING FOR A FURNISHED APARTMENT @ Baridhara Diplomatic Zone?, 3 bd, 4 ba, 2600 sqft,"Intercom,Wi-Fi,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 215000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  430000,",http://www.rentalhomebd.com/properties/looking-for-a-furnished-apartment-at-baridhara-diplomatic-zone/359
A 3500 SQFT stunning apartment up for rent @ Baridhara Diplomatic Zone, 4 bd, 4 ba, 3500 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 270000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  540000,",http://www.rentalhomebd.com/properties/a-3500-sqft-stunning-apartment-up-for-rent-at-baridhara-diplomatic-zone/360
A 3750 SQFT APARTMENT @BARIDHARA DIPLOMATIC ZONE IS UP FOR RENT NOW, 4 bd, 5 ba, 3750 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 310000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Advance Deposit:  620000,",http://www.rentalhomebd.com/properties/a-3750-sqft-apartment-at-baridhara-diplomatic-zone-is-up-for-rent-now/362
1850 sqft Unfurnished Apartment with for Rent @ Banani, 3 bd, 3 ba, 1850 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Apartment/Flats,Rent, 95000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  8500,,Advance Deposit:  190000,",http://www.rentalhomebd.com/properties/1850-sqft-unfurnished-apartment-with-for-rent-at-banani/363
SEARCHING FOR AN AFFORDABLE FURNISHED APARTMENT TO CALL YOUR OWN? @ Baridhara Diplomatic Zone, 4 bd, 4 ba, 3400 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 210000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  6,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  11000,,Advance Deposit:  420000,",http://www.rentalhomebd.com/properties/searching-for-an-affordable-furnished-apartment-to-call-your-own-at-baridhara-diplomatic-zone/361
2000 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 3 ba, 2000 sqft,"Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 150000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Furnished Status:  Unfurnished,,Car Parking:  Available,,Service Charge:  15000,,Advance Deposit:  300000,",http://www.rentalhomebd.com/properties/2000-sqft-unfurnished-office-space-for-rent-at-banani/364
An amazing semi furnished apartment up for rent @BARIDHARA DIPLOMATIC ZONE, 3 bd, 4 ba, 4000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 380000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  5,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  20000,,Advance Deposit:  760000,",http://www.rentalhomebd.com/properties/an-amazing-semi-furnished-apartment-up-for-rent-at-baridhara-diplomatic-zone/365
LOOKING FOR A FURNISHED APARTMENT @ Baridhara Diplomatic Zone?, 3 bd, 4 ba, 4200 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 350000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  7,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  15000,,Advance Deposit:  700000,",http://www.rentalhomebd.com/properties/looking-for-a-furnished-apartment-at-baridhara-diplomatic-zone/366
A PERFECTLY STRUCTURED SEMI-FURNISHED APARTMENT @ Baridhara Diplomatic Zone, 3 bd, 4 ba, 3400 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 310000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  30000,,Advance Deposit:  620000,",http://www.rentalhomebd.com/properties/a-perfectly-structured-semi-furnished-apartment-at-baridhara-diplomatic-zone/368
A CLASSY 4000 SQFT APARTMENT @ BARIDHARA DIPLOMATIC ZONE, 4 bd, 5 ba, 4000 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 310000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  2,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Semi-Furnished,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  20000,,Advance Deposit:  620000,",http://www.rentalhomebd.com/properties/a-classy-4000-sqft-apartment-at-baridhara-diplomatic-zone/367
SEARCHING FOR AN AFFORDABLE FURNISHED APARTMENT @Baridhara Diplomatic Zone?, 3 bd, 4 ba, 2470 sqft,"Intercom,Electricity,Govt. Gas,Elevator,Security Guard,CCTV,WASA,Child Allowed","Baridhara Diplomatic Zone, Baridhara, Dhaka",Apartment/Flats,Rent, 175000/mo,"Property Condition:  New,,Available For:  Family,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Furnished Status:  Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Nagotiable:  Yes,,Service Charge:  8000,,Advance Deposit:  350000,",http://www.rentalhomebd.com/properties/searching-for-an-affordable-furnished-apartment-at-baridhara-diplomatic-zone/369
3700 sqft Unfurnished Office Space for Rent @ Banani, 0 bd, 2 ba, 3700 sqft,"Intercom,Electricity,Elevator,Security Guard,CCTV,WASA,Guard's Room","Banani, Dhaka, Banani, Dhaka",Office space,Rent, 999000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  2,,Furnished Status:  Unfurnished,,Service Charge:  74000,,Advance Deposit:  1998000,",http://www.rentalhomebd.com/properties/3700-sqft-unfurnished-office-space-for-rent-at-banani/370
Commercial Space for Rent @ Bashundhara Road, 0 bd, 0 ba, 2380 sqft,"Elevator,Security Guard,WASA","Bashundhara Road, Bashundhara, Dhaka",Office space,Rent, 238000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Furnished Status:  Unfurnished,,Nagotiable:  Yes,,Service Charge:  16660,,Advance Deposit:  2,",http://www.rentalhomebd.com/properties/commercial-space-for-rent-at-bashundhara-road/340
3750 sqft Semi-Furnished Apartment for Rent @Baridhara Diplomatic Zone, 4 bd, 5 ba, 3750 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 290000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  7,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Advance Deposit:  580000,",http://www.rentalhomebd.com/properties/3750-sqft-semi-furnished-apartment-for-rent-at-baridhara-diplomatic-zone/342
3500 sqft Semi-Furnished Apartment for Rent @ Gulshan-2, 4 bd, 5 ba, 3500 sqft,"Intercom,Electricity,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Gulshan-2, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 300000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  4,,Balcony:  Yes,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  22000,,Advance Deposit:  600000,",http://www.rentalhomebd.com/properties/3500-sqft-semi-furnished-apartment-for-rent-at-gulshan-2/356
3000 sqft Semi-Furnished Apartment with for Rent @ Baridhara Diplomatic Zone, 3 bd, 4 ba, 3000 sqft,"Intercom,Electricity,Safety Grill,Govt. Gas,Hot Water,Elevator,Security Guard,CCTV,WASA,Guard's Room,Child Allowed","Baridhara Diplomatic Zone, Dhaka, Baridhara, Dhaka",Apartment/Flats,Rent, 240000/mo,"Property Condition:  New,,Available For:  Any,,Floor Number:  3,,Kitchen:  1,,Drawing Room:  Yes,,Dining Room:  Yes,,Living Room:  Yes,,Furnished Status:  Semi-Furnished,,Car Parking:  Available,,Servent Room:  Yes,,Staff Toilet:  Yes,,Service Charge:  17500,,Advance Deposit:  480000,",http://www.rentalhomebd.com/properties/3000-sqft-semi-furnished-apartment-with-for-rent-at-baridhara-diplomatic-zone/343
