area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,land_katha,living,location,parking_space,price_per_sft,property_type,view
1400,1,2,3,1,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,Negotiable,Apartment,
5250,4,2,4,1,,11th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",2,"25,000.00৳",Apartment,
1310,3,3,3,,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",20,"7,000.00৳",Apartment,
1290,2,3,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"5,500.00৳",Apartment,
1800,2,3,4,1,,8th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"4,888.00৳",Apartment,
1620,2,,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"4,500.00৳",Apartment,
1300,3,3,4,1,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
360,1,1,1,,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"3,000.00৳",Apartment,
2,2,2,3,1,,2nd,3,,,"Turag, Dhaka, Bangladesh",6,"4,500.00৳",Apartment,
1150,2,2,3,1,,5th,Tiled,,,"Banashree, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
1000,2,2,3,,,2nd,Tiled,,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment,
1250,3,3,3,,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,Negotiable,Apartment,
1300,2,2,3,1,,4th,Tiled,,,"Banashree, Dhaka, Bangladesh",1,Negotiable,Apartment,
1000,2,2,3,,,5th,Tiled,,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment,
1975,3,1,3,,,1st,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,Negotiable,Apartment,
1200,3,2,3,,,8th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1600,3,2,3,,,4th,Tiled,,,"Banashree, Dhaka, Bangladesh",,Negotiable,Apartment,
1510,2,3,3,1,,5th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"5,800.00৳",Apartment,
1000,3,1,3,,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment,
1500,2,3,3,1,,5th,5,,,"Mohammadpur , Dhaka, Bangladesh",,Negotiable,Apartment,
4700,4,3,4,,,5th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",2,"12,000.00৳",Apartment,
2700,3,5,3,1,,5th,Mosaic,,,"Ramna, Dhaka, Bangladesh",,"11,000.00৳",Apartment,
4,1,1,2,1,,3rd, Other,,,"Chattogram City, Chattogram, Bangladesh",,"4,095.00৳",Apartment,
2,3,3,3,,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,Negotiable,Apartment,
1200,2,3,3,1,,5th,Tiled,,,"Keraniganj, Dhaka, Bangladesh",3,"2,750.00৳",Apartment,
2040,3,,4,1,,8th,8,,,"Kalabagan, Dhaka, Bangladesh",,Negotiable,Apartment,
750,1,2,2,1,,4th,Tiled,,,"Adabor, Dhaka, Bangladesh",,Negotiable,Apartment,
1160,1,2,3,1,,3rd,Tiled,,,"Rupnagar, Dhaka, Bangladesh",,"5,500.00৳",Apartment,
1750,2,3,3,1,,2nd,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"11,430.00৳",Apartment,
1160,2,2,3,1,,3rd,9,,,"Kallaynpur, Dhaka, Bangladesh",,"4,500.00৳",Apartment,
1510,2,,3,1,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
2280,2,2,3,1,,1st,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,Negotiable,Apartment,
1500,2,2,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,000.00৳",Apartment,
2350,3,,3,1,,5th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"17,025.00৳",Apartment,
2200,3,4,4,1,,3rd,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,"9,090.00৳",Apartment,
2600,3,5,4,1,,2nd,Mosaic,,,"DOHS Baridhara, Dhaka, Bangladesh",1,"2,25,00,000.00৳",Apartment,
1140,3,2,3,,,5th,Tiled,,,"Banashree, Dhaka, Bangladesh",,"4,000.00৳",Apartment,
1220,2,2,3,1,,4th,10,,,"Mohammadpur , Dhaka, Bangladesh",,"3,800.00৳",Apartment,
2600,3,2,3,1,,1st,Tiled,,,"Baridhara, Dhaka, Bangladesh",,"18,000.00৳",Apartment,
3,3,3,3,,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"1,07,00,000.00৳",Apartment,
1693,3,3,3,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"7,000.00৳",Apartment,
2150,4,4,4,,,2nd,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
1700,3,2,3,,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"13,000.00৳",Apartment,
2000,3,1,3,1,,8th,Tiled,,,", , ",1,Negotiable,Apartment,
2160,2,2,4,1,,5th,Tiled,,,"Tejgaon, Dhaka, Bangladesh",1,"11,574.00৳",Apartment,
2000,3,,3,,,1st,Tiled,,,"New Market, Dhaka, Bangladesh",,175.00৳,Apartment,
1400,2,3,3,1,,4th,Tiled,,,"Savar, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
1970,3,4,4,1,,6th,Tiled,,,"Moghbazar, Dhaka, Bangladesh",2,"7,700.00৳",Apartment,
1650,2,3,3,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"1,15,00,000.00৳",Apartment,
1687,2,3,3,1,,3rd,14,,,"Rangpur City, Rangpur, Bangladesh",,"4,000.00৳",Apartment,
1200,3,,3,,,1st,4,,,"Rangpur City, Rangpur, Bangladesh",,Negotiable,Apartment,
2950,4,,4,1,,3rd,Tiled,,,"Baridhara, Dhaka, Bangladesh",2,Negotiable,Apartment,
227,1,,2,,,4th,Tiled,,,"Nangalkot, Cumilla, Bangladesh",,"20,00,000.00৳",Apartment,
1867,3,3,3,1,,4th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
2600,3,3,3,1,,2nd,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"11,600.00৳",Apartment,
531,,1,2,1,,4th, Other,,,"Sutrapur, Dhaka, Bangladesh",,Negotiable,Apartment,
1900,3,3,3,1,,8th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"6,400.00৳",Apartment,
858,1,2,2,1,,5th,Tiled,,,"Kadamtali, Dhaka, Bangladesh",,Negotiable,Apartment,
1050,1,1,2,1,,11th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
858,1,2,2,1,,7th,Tiled,,,"Kadamtali, Dhaka, Bangladesh",,"2,570.00৳",Apartment,
1070,1,2,3,1,,5th,Tiled,,,"Turag, Dhaka, Bangladesh",,"3,272.00৳",Apartment,
1698,2,2,3,1,,10th,Tiled,,,"Paltan, Dhaka, Bangladesh",,"5,450.00৳",Apartment,
1200,2,2,3,1,,5th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"4,750.00৳",Apartment,
2915,2,,2,1,,1st,Tiled,,,"Banani, Dhaka, Bangladesh",2,Negotiable,Apartment,
3600,3,3,3,,,1st,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,Negotiable,Apartment,
2393,3,2,4,1,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"10,500.00৳",Apartment,
1950,3,4,4,1,,2nd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,180.00৳",Apartment,
1865,3,3,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"6,600.00৳",Apartment,
1350,2,2,3,1,,7th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"6,700.00৳",Apartment,
1727,3,1,3,1,,9th,Tiled,,,"Banani, Dhaka, Bangladesh",1,Negotiable,Apartment,
1550,3,3,3,1,,1st,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"6,400.00৳",Apartment,
528,1,1,2,1,,2nd, Other,,,"Kamrangir Char, Dhaka, Bangladesh",,"3,400.00৳",Apartment,
1950,3,3,4,1,,4th,Tiled,,,"Pallabi , Dhaka, Bangladesh",,"6,500.00৳",Apartment,
1360,2,2,3,1,,8th,Tiled,,,"Mohakhali, Dhaka, Bangladesh",1,"5,900.00৳",Apartment,
800,1,1,3,1,,3rd,Tiled,,,"Kamrangir Char, Dhaka, Bangladesh",,"3,000.00৳",Apartment,
3515,4,4,4,,,4th,Tiled,,,"Baridhara, Dhaka, Bangladesh",2,"9,00,00,000.00৳",Apartment,
3060,3,3,4,1,,4th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"15,000.00৳",Apartment,
3000,3,3,3,1,,3rd,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"17,000.00৳",Apartment,
1150,1,2,3,1,,1st,Tiled,,,"Airport, Dhaka, Bangladesh",1,"4,500.00৳",Apartment,
150,2,2,3,1,,4th,Tiled,,,"Vatara , Dhaka, Bangladesh",,"5,500.00৳",Apartment,
5365,4,3,4,1,,7th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,"19,000.00৳",Apartment,
2460,4,3,3,1,,4th,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",1,"13,300.00৳",Apartment,
1250,2,2,3,1,,3rd,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,"7,200.00৳",Apartment,
2365,2,4,4,1,,1st,8,,,"Uttara West, Dhaka, Bangladesh",,"2,15,00,000.00৳",Apartment,
1150,2,1,2,1,,5th,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",,"7,000.00৳",Apartment,
1690,2,1,3,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,300.00৳",Apartment,
2600,3,3,3,1,,5th,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
3650,5,5,6,1,,1st,Mosaic,,,"Baridhara, Dhaka, Bangladesh",1,"27,000.00৳",Apartment,
2880,3,2,3,,,5th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,Negotiable,Apartment,
3300,1,3,2,1,,6th,Tiled,,,"Badda, Dhaka, Bangladesh",,Negotiable,Apartment,
3200,2,2,3,1,,1st,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"14,063.00৳",Apartment,
1615,2,,3,1,,Ground,Tiled,,,"Chapainawabganj Sadar, Nawabganj, Bangladesh",1,"3,50,00,000.00৳",Apartment,
1100,2,2,3,1,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"4,300.00৳",Apartment,
1850,3,3,3,1,,6th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"14,000.00৳",Apartment,
1300,2,2,3,1,,6th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"5,000.00৳",Apartment,
1700,2,3,3,1,,6th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,470.00৳",Apartment,
1100,2,2,3,1,,1st,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"4,300.00৳",Apartment,
1350,3,2,3,,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"5,600.00৳",Apartment,
1440,3,2,3,1,,8th,Tiled,,,"Pallabi , Dhaka, Bangladesh",1,"5,300.00৳",Apartment,
1059,2,1,2,,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,375.00৳",Apartment,
3400,2,5,4,1,,2nd,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",2,"18,000.00৳",Apartment,
3350,3,2,3,1,,9th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"13,500.00৳",Apartment,
1300,2,,3,1,,2nd,Tiled,,,"DOHS Baridhara, Dhaka, Bangladesh",1,"7,600.00৳",Apartment,
2200,3,4,4,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"10,000.00৳",Apartment,
2200,2,2,3,1,,6th,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,Negotiable,Apartment,
2200,2,3,3,1,,3rd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
1650,2,2,2,1,,8th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"6,000.00৳",Apartment,
3000,2,1,3,1,,4th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,Negotiable,Apartment,
2200,4,4,4,,,3rd,Tiled,,,"DOHS Mirpur, Dhaka, Bangladesh",1,"8,636.00৳",Apartment,
1300,2,2,3,1,,4th,Tiled,,,"DOHS Mohakhali, Dhaka, Bangladesh",1,"12,000.00৳",Apartment,
1638,4,2,3,1,,1st,Tiled,,,"DOHS Banani, Dhaka, Bangladesh",1,"16,000.00৳",Apartment,
775,2,2,2,,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"5,170.00৳",Apartment,
1570,2,3,3,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"7,500.00৳",Apartment,
13000,2,2,2,1,,5th,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"3,900.00৳",Apartment,
3500,3,4,3,1,,3rd,Tiled,,,"Gulshan 2, Dhaka, Bangladesh",,"28,000.00৳",Apartment,
1915,3,2,3,,,4th,Tiled,,,"Baridhara, Dhaka, Bangladesh",1,"15,700.00৳",Apartment,
1300,2,3,3,1,,2nd,Tiled,,,"Cantonment, Dhaka, Bangladesh",,"4,300.00৳",Apartment,
1350,2,1,3,1,,1st,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",,"10,000.00৳",Apartment,
1522,2,2,3,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"5,000.00৳",Apartment,
550,1,1,2,,,5th,Tiled,,,"Lalbag, Dhaka, Bangladesh",,"4,300.00৳",Apartment,
1385,3,2,3,,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
1217,2,2,3,1,,11th,Tiled,,,"Hazaribag , Dhaka, Bangladesh",,Negotiable,Apartment,
3000,3,4,4,1,,5th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"13,000.00৳",Apartment,
1800,2,,3,1,,Ground,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
4350,,8,6,1,,5th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",2,"8,500.00৳",Apartment,
1600,2,2,3,1,,6th,Tiled,,,"Banani, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
1440,2,2,4,1,,5th,Tiled,,,"Gulshan 1, Dhaka, Bangladesh",1,"14,000.00৳",Apartment,
1520,1,2,3,1,,2nd,Tiled,,,"Wari, Dhaka, Bangladesh",,Negotiable,Apartment,
1150,1,2,3,1,,5th,Tiled,,,"Wari, Dhaka, Bangladesh",,"7,000.00৳",Apartment,
1368,2,3,3,1,,1st,Tiled,,,"Wari, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
1403,2,1,4,1,,14th,Tiled,,,"Wari, Dhaka, Bangladesh",1,Negotiable,Apartment,
970,2,2,3,1,,8th,Tiled,,,"Wari, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
1125,3,4,3,,,2nd,Mosaic,,,"Mohammadpur , Dhaka, Bangladesh",1,"5,245.00৳",Apartment,
1685,3,,3,,,7th,Tiled,,,"Moghbazar, Dhaka, Bangladesh",1,"6,825.00৳",Apartment,
1300,2,4,3,1,,2nd,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"5,200.00৳",Apartment,
1200,2,2,3,1,,4th,Tiled,,,"Wari, Dhaka, Bangladesh",1,Negotiable,Apartment,
1500,2,2,3,1,,4th,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",1,"1,40,00,000.00৳",Apartment,
2770,3,3,3,,,8th,Tiled,,,"Banani, Dhaka, Bangladesh",2,"13,000.00৳",Apartment,
2900,2,2,4,1,,3rd,Tiled,,,"Banani, Dhaka, Bangladesh",2,"13,800.00৳",Apartment,
1675,2,2,2,1,,8th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"85,00,000.00৳",Apartment,
1100,2,2,3,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,Negotiable,Apartment,
4200,4,6,4,,,8th, Other,,,"Uttara East, Dhaka, Bangladesh",2,"9,500.00৳",Apartment,
1650,2,2,3,1,,8th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
1150,1,3,3,1,,3rd,Tiled,,,"Mohammadpur , Dhaka, Bangladesh",,"4,782.00৳",Apartment,
1250,2,2,3,1,,4th,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"5,040.00৳",Apartment,
1570,1,2,3,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"6,400.00৳",Apartment,
1120,2,2,2,,,7th,Tiled,,,"Vatara , Dhaka, Bangladesh",,"6,000.00৳",Apartment,
1850,2,3,3,1,,6th,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"6,532.00৳",Apartment,
1250,3,3,3,1,,6th,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"5,600.00৳",Apartment,
900,2,2,3,1,,2nd,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
1235,1,1,3,1,,3rd,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"4,600.00৳",Apartment,
1207,2,2,3,1,,3rd,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"4,500.00৳",Apartment,
990,1,2,2,1,,5th,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"4,500.00৳",Apartment,
1150,2,2,3,1,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"4,800.00৳",Apartment,
950,1,2,2,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
1500,3,4,4,1,,1st,Tiled,,,"Uttarkhan, Dhaka, Bangladesh",,"3,500.00৳",Apartment,
1250,1,2,3,1,,4th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"6,800.00৳",Apartment,
1727,,3,3,1,,9th,Tiled,,,"Banani, Dhaka, Bangladesh",,Negotiable,Apartment,
1238,1,2,3,1,,2nd,Tiled,,,"Vatara , Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
970,1,2,3,1,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",,"5,100.00৳",Apartment,
950,1,2,2,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"4,800.00৳",Apartment,
1400,2,3,3,1,,2nd,Tiled,,,"Mirpur, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
1587,3,3,3,,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"7,300.00৳",Apartment,
1755,3,3,3,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"4,700.00৳",Apartment,
850,1,2,2,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"5,800.00৳",Apartment,
1100,1,2,3,1,,6th,Tiled,,,"Daskhinkhan, Dhaka, Bangladesh",1,"4,100.00৳",Apartment,
1650,3,3,3,,,10th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"4,900.00৳",Apartment,
860,1,1,2,1,,5th,Tiled,,,"Uttarkhan, Dhaka, Bangladesh",1,"4,200.00৳",Apartment,
1850,3,,3,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"4,702.00৳",Apartment,
930,2,2,2,,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",1,"4,400.00৳",Apartment,
970,3,2,3,1,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",,"5,200.00৳",Apartment,
1300,2,2,3,1,,3rd,Tiled,,,"Uttarkhan, Dhaka, Bangladesh",,"4,200.00৳",Apartment,
1300,2,3,3,1,,4th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",,"5,500.00৳",Apartment,
4,2,2,2,1,,2nd,Tiled,,,"Uttarkhan, Dhaka, Bangladesh",,Negotiable,Apartment,
1335,2,2,3,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,745.00৳",Apartment,
1575,2,3,3,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,800.00৳",Apartment,
850,1,1,2,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,120.00৳",Apartment,
1720,3,4,3,,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"11,000.00৳",Apartment,
850,1,2,2,1,,4th,Tiled,,,"Vatara , Dhaka, Bangladesh",,"5,625.00৳",Apartment,
1600,3,2,3,,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"4,600.00৳",Apartment,
5000,3,3,4,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
3350,3,2,3,,,3rd,Tiled,,,"Dhanmondi, Dhaka, Bangladesh",1,"15,000.00৳",Apartment,
1600,2,3,3,1,,3rd,Tiled,,,"Badda, Dhaka, Bangladesh",1,"56,00,000.00৳",Apartment,
1350,3,2,3,,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,445.00৳",Apartment,
1400,3,2,3,,,3rd,Tiled,,,"Uttara East, Dhaka, Bangladesh",1,"4,300.00৳",Apartment,
1150,2,3,3,,,4th,Tiled,,,"Daskhinkhan, Dhaka, Bangladesh",1,"4,800.00৳",Apartment,
725,2,2,2,,,4th,Tiled,,,"Uttarkhan, Dhaka, Bangladesh",,"3,200.00৳",Apartment,
1877,1,2,2,1,,10th,Tiled,,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment,
1895,3,2,4,,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
1050,2,2,3,,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"4,900.00৳",Apartment,
2467,2,2,3,1,,6th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"10,134.00৳",Apartment,
1450,2,4,3,1,,2nd,Tiled,,,"Badda, Dhaka, Bangladesh",1,Negotiable,Apartment,
1630,2,3,3,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"8,000.00৳",Apartment,
1895,3,2,4,1,,3rd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"1,36,44,000.00৳",Apartment,
1800,4,4,4,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,000.00৳",Apartment,
1400,2,3,3,1,,8th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,500.00৳",Apartment,
1805,5,4,4,,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"1,75,00,000.00৳",Apartment,
1951,2,3,3,1,,3rd,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",1,"7,700.00৳",Apartment,
1900,2,2,2,,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"8,000.00৳",Apartment,
1626,3,3,3,,,3rd,Tiled,,,"Badda, Dhaka, Bangladesh",,Negotiable,Apartment,
650,1,2,2,1,,4th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,300.00৳",Apartment,
850,1,2,2,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
3000,3,4,4,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"10,000.00৳",Apartment,
1800,5,2,5,,,Ground,Mosaic,,,"Moghbazar, Dhaka, Bangladesh",,"4,000.00৳",Apartment,
1510,2,4,3,1,,3rd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"5,900.00৳",Apartment,
1132,1,2,2,1,,10th,Tiled,,,"Badda, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
2,1,1,3,,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"6,000.00৳",Apartment,
1064,2,2,3,1,,1st,Tiled,,,"Badda, Dhaka, Bangladesh",1,"5,500.00৳",Apartment,
900,1,1,2,1,,4th,Tiled,,,"Banashree, Dhaka, Bangladesh",,"6,700.00৳",Apartment,
850,2,2,3,1,,1st,Tiled,,,"Badda, Dhaka, Bangladesh",,"4,235.00৳",Apartment,
1338,2,1,2,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"5,605.00৳",Apartment,
1971,3,4,3,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"9,000.00৳",Apartment,
1612,2,3,3,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"7,444.00৳",Apartment,
1160,2,3,3,1,,1st,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"6,466.00৳",Apartment,
1000,2,2,3,,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"3,200.00৳",Apartment,
1200,2,3,3,1,,1st,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,Negotiable,Apartment,
750,1,2,2,1,,5th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
1530,2,3,3,1,,7th,Tiled,,,"Bashundhara RA, Dhaka, Bangladesh",,"7,000.00৳",Apartment,
900,1,2,2,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,Negotiable,Apartment,
1100,1,1,2,1,,12th,Tiled,,,"Badda, Dhaka, Bangladesh",1,"6,500.00৳",Apartment,
3200,4,3,4,1,,2nd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"10,500.00৳",Apartment,
1760,2,2,3,1,,1st,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"12,800.00৳",Apartment,
1300,2,,3,1,,4th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"8,500.00৳",Apartment,
900,1,1,2,1,,6th,Tiled,,,"Mirpur, Dhaka, Bangladesh",,"4,444.00৳",Apartment,
650,1,1,2,,,1st,Tiled,,,"Kalabagan, Dhaka, Bangladesh",,"10,000.00৳",Apartment,
1700,2,3,3,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",,Negotiable,Apartment,
700,1,1,2,1,,5th,Tiled,,,"Adabor, Dhaka, Bangladesh",,"4,500.00৳",Apartment,
1472,3,3,4,1,,8th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,Negotiable,Apartment,
1950,3,3,3,1,,7th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"5,000.00৳",Apartment,
2500,3,3,3,1,,5th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"18,000.00৳",Apartment,
3208,3,2,4,1,,3rd,Mosaic,,,"Uttara West, Dhaka, Bangladesh",,"12,468.00৳",Apartment,
1575,3,4,4,1,,6th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,350.00৳",Apartment,
1900,2,3,4,1,,3rd,Tiled,,,"Uttara West, Dhaka, Bangladesh",,"9,000.00৳",Apartment,
1587,3,3,3,1,,1st,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"7,561.00৳",Apartment,
2033,2,2,3,1,,14th,Tiled,,,"Uttara West, Dhaka, Bangladesh",1,"6,000.00৳",Apartment,
1350,2,2,3,1,,6th,Tiled,,,"Adabor, Dhaka, Bangladesh",1,"4,444.00৳",Apartment,
1470,2,3,3,1,,2nd,Tiled,,,"Adabor, Dhaka, Bangladesh",,"4,625.85৳",Apartment,
1045,2,2,3,1,,4th,Tiled,,,"Aftabnagar, Dhaka, Bangladesh",,Negotiable,Apartment,
