Amenities,Bathroom,Bedroom,Description,Location,MainFeatures,NearByLocation,PricePerMonth,PropertyType,Status,url
"kitchens: 1,Attached Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1610/
"kitchens: 1,Attached Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1597/
"kitchens: 1,Attached Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1577/
"kitchens: 1,Dining Room",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Bashundhara R/A, ","Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Elevator","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1585/
"kitchens: 1,Attached Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,,"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 800 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1595/
"kitchens: 1,Attached Bathroom,Dining Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।,
.,
সুযোগ সুবিধা:,
>ওয়াইফাই, টিভি,
>সুইমিংপুল, এসি, জিম,
>থিয়েটার & সিকিউরিটি,
>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস,
>গ্রোসারি শপ &কেবিনেট কিচেন,
>রেফ্রিজারেটর & মাইক্রোওয়েভ,
.,
২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:,
>https://www.hotels.com.bd/two-room,
>https://www.youtube.com/watch?v=b_dWFqx8jKk,.,
বুকিং এর জন্য যোগাযোগ করুনঃ,
০১৭১২-৫৫৩৫৪৭,
০১৯২১০৯৬৮৪৬","জেসিএক্স টাওয়ার, ১১৩৬/এ, ব্লক- আই, লেভেল ৫ জাপান স্ট্রিট, বসুন্ধরা আর /এ, ","Built in Year : 2020,Size 800 Sq. Meter,Parking Spaces,flooring,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1579/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Furnished Short Term 02 Bedroom  Flat Rentals In Dhaka,
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
YouTube,
1. https://www.hotels.com.bd/rental/apartment-two-bedroom,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport",48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1592/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1587/
"kitchens: 1,Attached Bathroom",Bathrooms: 1,Bedrooms: 1,"বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।,সুযোগ সুবিধা:,
>ওয়াইফাই, টিভি,
>সুইমিংপুল, এসি, জিম,
>থিয়েটার & সিকিউরিটি,
>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস,
>গ্রোসারি শপ &কেবিনেট কিচেন,
>রেফ্রিজারেটর & মাইক্রোওয়েভ,২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:,
>https://www.hotels.com.bd/two-room,
>https://www.youtube.com/watch?v=b_dWFqx8jKk,বুকিং এর জন্য যোগাযোগ করুনঃ,
০১৭১২-৫৫৩৫৪৭,
০১৯২১০৯৬৮৪৬","জেসিএক্স টাওয়ার, ১১৩৬/এ, ব্লক- আই, লেভেল ৫, জাপান স্ট্রিট, বসুন্ধরা আর /এ, ","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security","Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1602/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features","Airport ( 20 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1604/
